Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,17000
Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,None,70 hours,4500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,"Chronograph, Date",46 hours,8300
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,"Date, Second Time Zone",72 hours,8900
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,43.6,13.83,23.0,Black,Sapphire,"Date, Unidirectional Bezel",120 hours,12000
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,45.0,10.95,24.0,Blue,Sapphire,Date,42 hours,7500
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,14.05,22.0,Silver,Sapphire,"Chronograph, Date",50 hours,6900
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,11.0,20.0,Blue,Sapphire,"Date, Second Time Zone",60 hours,15500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Black,Sapphire,None,54 hours,11200
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,39.0,9.4,20.0,Blue,Sapphire,"Date, Power Reserve Indicator",60 hours,18900
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,49800
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,"Date, Chronograph",44 hours,5500
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,Date,72 hours,9600
Breguet,Type XX,Stainless Steel,Leather,Automatic,100 meters,39.5,14.1,20.0,Black,Sapphire,"Date, Chronograph, Flyback",48 hours,8800
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,43.0,13.4,23.0,Black,Sapphire,Date,120 hours,14700
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,10600
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Black,Sapphire,Date,60 hours,19200
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.15,19.0,Silver,Sapphire,Chronograph,50 hours,7500
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,Chronograph,48 hours,5600
Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,12.75,22.0,Blue,Sapphire,Date,64 hours,1400
Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,300 meters,40.0,13.0,20.0,Black,Sapphire,Date,48 hours,9500
Omega,Seamaster,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21.0,Blue,Sapphire,Date,60 hours,5800
Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100 meters,41.0,13.0,20.0,White,Sapphire,Chronograph,42 hours,4200
Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,30 meters,43.0,14.25,22.0,Black,Sapphire,Chronograph,70 hours,7900
Cartier,Tank Solo,Stainless Steel,Leather,Quartz,30 meters,31.0,6.05,20.0,Silver,Sapphire,None,,2800
Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,30 meters,42.9,9.2,20.0,Black,Sapphire,None,45 hours,5500
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.75,22.0,Black,Sapphire,Date,70 hours,3500
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,42.3,13.4,22.0,Blue,Hardlex,None,50 hours,650
Citizen,Promaster,Titanium,Titanium,Eco-Drive,200 meters,46.5,15.0,23.0,Black,Sapphire,Chronograph,210 days,995
Hamilton,Khaki Field Auto,Stainless Steel,Leather,Automatic,100 meters,38.0,9.85,20.0,Black,Sapphire,None,80 hours,545
Bulova,Precisionist,Stainless Steel,Stainless Steel,Quartz,300 meters,46.5,17.5,24.0,Black,Mineral,Chronograph,,650
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,5500
Breitling,Superocean Heritage,Stainless Steel,Rubber,Automatic,200 meters,42.0,14.35,22.0,Black,Sapphire,Date,38 hours,4800
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,Date,70 hours,6500
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,21.5,Silver,Sapphire,Date,42 hours,7500
Zenith,Elite,Stainless Steel,Leather,Automatic,50 meters,40.5,9.15,20.0,Silver,Sapphire,None,50 hours,4500
Panerai,Luminor Base,Stainless Steel,Leather,Manual,100 meters,44.0,10.5,24.0,Black,Sapphire,None,56 hours,5800
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Silver,Sapphire,Date,60 hours,21000
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,10.86,20.0,Black,Sapphire,Date,42 hours,3800
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,3900
Longines,Conquest VHP,Stainless Steel,Stainless Steel,Quartz,50 meters,41.0,12.1,20.0,Black,Sapphire,"Chronograph, Date",,1500
Sinn,U1,Stainless Steel,Rubber,Automatic,1000 meters,44.0,14.3,22.0,Black,Sapphire,None,38 hours,2500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,"Date, Power Reserve, Moon Phase",45 hours,38000
Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,55000
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,"Date, Power Reserve",40 hours,21000
A. Lange & Sohne,Saxonia,White Gold,Leather,Manual,30 meters,38.5,7.8,18.0,Silver,Sapphire,None,45 hours,23000
Breguet,Classique,Rose Gold,Leather,Manual,30 meters,38.5,8.25,20.0,Silver,Sapphire,Power Reserve,65 hours,23000
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,None,60 hours,8500
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,14000
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Blue,Sapphire,Chronograph,72 hours,16000
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,None,72 hours,8500
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Silver,Sapphire,Chronograph,50 hours,6000
Piaget,Altiplano,White Gold,Leather,Manual,30 meters,38.0,6.1,20.0,Silver,Sapphire,None,43 hours,16500
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,44.3,12.7,20.0,Blue,Sapphire,Day/Date,41 hours,1200
Panerai,Luminor Due,Stainless Steel,Leather,Automatic,30 meters,38.0,11.2,20.0,Black,Sapphire,None,72 hours,6500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,"Chronograph, Moon Phase",46 hours,9800
Blancpain,Fifty Fathoms,Titanium,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,None,120 hours,16800
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.5,20.0,Black,Sapphire,Date,60 hours,19800
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,47000
Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,40.0,6.8,20.0,White,Sapphire,None,55 hours,19000
Vacheron Constantin,Patrimony,18K White Gold,Leather,Manual,30 meters,40.0,6.79,20.0,Silver,Sapphire,None,65 hours,18500
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.97,22.0,Black,Sapphire,Chronograph,42 hours,5800
Longines,Conquest,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,13.2,20.0,Black,Sapphire,Chronograph,54 hours,2200
Montblanc,1858,Stainless Steel,Leather,Manual,30 meters,44.0,12.3,22.0,Black,Sapphire,None,50 hours,3500
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,9950
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.7,20.0,Black,Hesalite,Chronograph,48 hours,4950
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,38000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,22000
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,46 hours,7500
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,Date,70 hours,8900
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,13900
Breguet,Classique,Rose Gold,Leather,Manual,30 meters,40.0,6.8,20.0,Silver,Sapphire,None,65 hours,20500
Ulysse Nardin,Marine,Titanium,Rubber,Automatic,300 meters,44.0,14.5,22.0,Blue,Sapphire,Date,60 hours,9500
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,41.0,14.5,20.0,Black,Sapphire,Chronograph,72 hours,16000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.75,20.0,White,Sapphire,Chronograph,50 hours,5500
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.8,20.0,Black,Sapphire,Date,70 hours,8200
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,13.2,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,5500
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,6500
Breitling,Superocean,Stainless Steel,Rubber,Automatic,500 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,3600
Patek Philippe,Calatrava,Rose Gold,Leather,Manual,30 meters,36.0,7.45,18.0,White,Sapphire,None,44 hours,18000
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,42.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72 hours,8900
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,"Date, Rotating Bezel",120 hours,13500
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,26000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Black,Sapphire,Chronograph,50 hours,6500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.5,12.3,22.0,Silver,Sapphire,None,60 hours,7800
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,38.0,7.58,20.0,Silver,Sapphire,None,70 hours,4500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,29800
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,23100
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,60 hours,7950
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11.0,22.0,Blue,Sapphire,Date,40 hours,18900
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,12800
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.0,14.5,26.0,Black,Sapphire,Chronograph,72 hours,17900
Breguet,Classique,18k Rose Gold,Leather,Manual,30 meters,39.0,8.65,20.0,Silver,Sapphire,None,40 hours,15200
Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100 meters,42.2,14.2,22.0,Blue,Sapphire,Date,60 hours,8400
Zenith,Defy,Titanium,Rubber,Automatic,100 meters,41.0,10.75,22.0,Blue,Sapphire,Chronograph,50 hours,9500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Silver,Sapphire,None,46 hours,9200
Panerai,Luminor,Stainless Steel,Leather,Manual,100 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,7500
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,43.0,13.2,22.0,Blue,Hardlex,Date,50 hours,1300
Tissot,Le Locle,Stainless Steel,Leather,Automatic,30 meters,39.3,9.75,20.0,Silver,Sapphire,Date,38 hours,650
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,40.0,10.25,20.0,Black,Sapphire,Date,64 hours,2500
Hamilton,Jazzmaster,Stainless Steel,Leather,Automatic,50 meters,40.0,11.15,20.0,Silver,Sapphire,Date,80 hours,1150
Montblanc,Heritage,Stainless Steel,Leather,Automatic,50 meters,40.0,9.85,20.0,Silver,Sapphire,Date,42 hours,2750
Rado,True Thinline,High-Tech Ceramic,Leather,Quartz,30 meters,39.0,5.0,22.0,Black,Sapphire,None,,1600
Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50 meters,40.0,10.5,20.0,Silver,Sapphire,Date,38 hours,1400
Zenith,Elite,Stainless Steel,Leather,Automatic,50 meters,40.5,8.15,22.0,White,Sapphire,Date,50 hours,5500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,25.0,Black,Sapphire,Date,46 hours,8700
Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,50 meters,42.0,11.15,20.0,Blue,Sapphire,Date,60 hours,7900
Sinn,U50,German Submarine Steel,Silicone,Automatic,500 meters,45.0,14.7,22.0,Black,Sapphire,None,38 hours,3350
Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36.0,12.5,20.0,Black,Sapphire,Date,70 hours,8000
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.5,20.0,Black,Sapphire,Chronograph,60 hours,6500
Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30 meters,33.0,9.96,16.0,Silver,Sapphire,Date,42 hours,4500
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,43.0,10.8,20.0,Blue,Sapphire,None,,1800
Breitling,Superocean,Stainless Steel,Rubber,Automatic,2000 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,3600
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,Date,60 hours,8900
Panerai,Luminor Marina,Titanium,Leather,Manual,300 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,5700
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,34000
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,None,43 hours,6800
Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,100 meters,41.0,9.7,22.0,Black,Sapphire,Date,40 hours,2500
Montblanc,1858,Bronze,Leather,Automatic,100 meters,44.0,12.8,22.0,Black,Sapphire,None,42 hours,5300
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,34000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,22000
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,21.0,Blue,Sapphire,Date,60 hours,17500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,13.1,22.0,Silver,Sapphire,Date,60 hours,8500
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.5,14.5,22.0,Black,Sapphire,Chronograph,72 hours,15000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.4,19.0,White,Sapphire,Chronograph,50 hours,6000
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,Chronograph,48 hours,5000
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,None,72 hours,8500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,9000
Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,None,120 hours,12500
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,30 meters,40.0,5.5,21.0,Black,Sapphire,None,55 hours,10000
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,3800
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,13.05,22.0,Black,Sapphire,Date,72 hours,8900
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,16800
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.9,12.3,20.0,Silver,Sapphire,Date,44 hours,6900
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,24500
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11.0,21.0,Silver,Sapphire,Date,40 hours,19500
